Ingested app: 'CT CONNECT' (row 7888) in  0.0469 seconds
Ingested app: 'Animated Photo Editor' (row 27) in  0.0313 seconds
Ingested app: 'Trinity Church Deltona, FL' (row 10609) in  0.0313 seconds
Ingested app: 'Lyra Virtual Assistant' (row 5204) in  0.0469 seconds
Ingested app: 'G-NetTrack Pro' (row 4172) in  0.0469 seconds
Ingested app: 'SpeedApp EV' (row 9964) in  0.0469 seconds
Ingested app: 'Hungry Shark World' (row 1930) in  0.0469 seconds
Ingested app: '30 Day Fitness Challenge - Workout at Home' (row 1267) in  0.0469 seconds
Ingested app: 'News: DW Hausa' (row 8990) in  0.0313 seconds
Ingested app: 'Lippincott Nursing Advisor' (row 2415) in  0.0469 seconds
Ingested app: 'SKOUT - Meet, Chat, Go Live' (row 2614) in  0.0469 seconds
Ingested app: 'Bubble Shooter 2' (row 1686) in  0.0469 seconds
Ingested app: 'Transit: Real-Time Transit App' (row 3825) in  0.0469 seconds
Ingested app: 'Modern: DU Launcher Theme' (row 8911) in  0.0469 seconds
Ingested app: 'Galaxy Attack: Alien Shooter' (row 1896) in  0.2299 seconds
Ingested app: 'Google Pay' (row 1096) in  0.2455 seconds
Ingested app: 'Vivid Seats \u2013 Event Tickets' (row 1014) in  0.1986 seconds
Ingested app: 'Period Tracker, Pregnancy Calculator & Calendar \U0001f338' (row 9481) in  0.2141 seconds
Ingested app: 'Mini DV' (row 8934) in  0.1982 seconds
Ingested app: 'SONIC Drive-In' (row 8725) in  0.2141 seconds
Ingested app: 'CE HPJM 69' (row 7226) in  0.0469 seconds
Ingested app: 'Flow Free' (row 1744) in  0.0469 seconds
Ingested app: 'Monster Ride Pro' (row 10776) in  0.0313 seconds
Ingested app: 'Narcos: Cartel Wars' (row 9576) in  0.0469 seconds
Ingested app: 'Sin City Crime Simulator V - Gangster' (row 4678) in  0.0469 seconds
Ingested app: 'VCalendar - VenkatRama and Co' (row 7634) in  0.0469 seconds
Ingested app: 'Jungle book-The Great Escape' (row 8740) in  0.0566 seconds
Ingested app: 'DS photo' (row 8813) in  0.0566 seconds
Ingested app: 'Websites.co.in Instant Website' (row 7645) in  0.045 seconds
Ingested app: 'EY EMEIA Diversity & Inclusion' (row 10097) in  0.045 seconds
Ingested app: 'KAYAK Flights, Hotels & Cars' (row 3108) in  0.049 seconds
Ingested app: 'TNEB Bill Online Payment (Tamil)' (row 9189) in  0.049 seconds
Ingested app: 'beIN SPORTS TR' (row 2985) in  0.0425 seconds
Ingested app: 'Cloud Print' (row 3574) in  0.0385 seconds
Ingested app: 'EA SPORTS\u2122 FIFA 18 Companion' (row 9145) in  0.0385 seconds
Ingested app: 'X Home Bar - Free' (row 4760) in  0.0345 seconds
Ingested app: 'I am rich (Most expensive app)' (row 5364) in  0.05 seconds
Ingested app: 'auto fines' (row 93) in  0.0461 seconds
Ingested app: 'EZ Thanks' (row 10128) in  0.0515 seconds
Ingested app: 'Vintage Flower CM Locker Theme' (row 7567) in  0.0555 seconds
Ingested app: 'Asana: organize team projects' (row 277) in  0.0555 seconds
Ingested app: 'Digital Tourist BH Itinerary' (row 6255) in  0.0594 seconds
Ingested app: 'Moto Fighter 3D' (row 10376) in  0.0479 seconds
Ingested app: 'DW Contacts widget' (row 8993) in  0.0479 seconds
Ingested app: 'DW Event' (row 8997) in  0.0441 seconds
Ingested app: 'My Little Princess : Stores' (row 2085) in  0.048 seconds
Ingested app: 'HD Camera - Quick Snap Photo & Video' (row 2815) in  0.044 seconds
Ingested app: 'American Muscle Car Race' (row 53) in  0.044 seconds
Ingested app: 'Choices: Stories You Play' (row 1853) in  0.044 seconds
Ingested app: 'Insight Timer - Free Meditation App' (row 1431) in  0.044 seconds
Ingested app: 'bp Magazine for Bipolar' (row 6620) in  0.0451 seconds
Ingested app: 'Haystack TV: Local & World News - Free' (row 3786) in  0.0451 seconds
Ingested app: 'JAL (Domestic and international flights)' (row 3133) in  0.0451 seconds
Ingested app: 'Z Champions' (row 4820) in  0.0491 seconds
Ingested app: 'The 5th Stand' (row 10269) in  0.0451 seconds
Ingested app: 'Al-Moazin Lite (Prayer Times)' (row 5322) in  0.0451 seconds
Ingested app: 'Learn 50 languages' (row 800) in  0.0484 seconds
Ingested app: 'Masha and the Bear: House Cleaning Games for Girls' (row 9682) in  0.0464 seconds
Ingested app: 'Mircules DX Cluster Lite' (row 9050) in  0.0484 seconds
Ingested app: 'Dropbox' (row 4048) in  0.0434 seconds
Ingested app: 'Poly Art: Paint by Sticker, Color by Number Puzzle' (row 7024) in  0.0494 seconds
Ingested app: 'my face' (row 1115) in  0.0466 seconds
Ingested app: 'MyQuest for Patients' (row 2326) in  0.0438 seconds
Ingested app: 'Yatra - Flights, Hotels, Bus, Trains & Cabs' (row 3145) in  0.0448 seconds
Ingested app: 'SnakeBite911 FR' (row 10806) in  0.0427 seconds
Ingested app: 'Hovercraft Racer' (row 2992) in  0.0438 seconds
Ingested app: 'Detect-O-Gromit (D.O.G 2)' (row 4429) in  0.0466 seconds
Ingested app: 'Yeled EI' (row 9414) in  0.0466 seconds
Ingested app: 'CT CONNECT' (row 7888) in  0.0467 seconds
Ingested app: 'Winter Wonderland' (row 10791) in  0.0427 seconds
Ingested app: 'EC Games Datecs' (row 9257) in  0.0506 seconds
Ingested app: 'LineStar for FanDuel' (row 10317) in  0.0467 seconds
Ingested app: 'Samsung Video Library' (row 3691) in  0.0422 seconds
Ingested app: 'AJ Rafael Music Lyrics' (row 5253) in  0.0507 seconds
Ingested app: 'BA VPN - Free Unlimited VPN' (row 5935) in  0.0393 seconds
Ingested app: 'PS4 Second Screen' (row 5604) in  0.0354 seconds
Ingested app: 'Cloud DX Connected Health' (row 9061) in  0.0354 seconds
Ingested app: 'Storm Shield' (row 10019) in  0.0469 seconds
Ingested app: 'Weight Watchers Mobile' (row 1416) in  0.0469 seconds
Ingested app: 'Extreme Rally Championship' (row 57) in  0.0469 seconds
Ingested app: 'Flipkart Online Shopping App' (row 2698) in  0.0469 seconds
Ingested app: 'WhatsApp Messenger' (row 336) in  0.0469 seconds
Ingested app: 'BT Speed' (row 6808) in  0.0469 seconds
Ingested app: 'AP\xae Guide' (row 5450) in  0.0468 seconds
Ingested app: "Ali Baba's Farm Tutorial Kids Games" (row 3583) in  0.0468 seconds
Ingested app: 'AU Results - AU COE Corner' (row 5657) in  0.0468 seconds
Ingested app: 'Schulman B.V.' (row 6867) in  0.0469 seconds
Ingested app: 'Global Shop' (row 7757) in Ingested app: 'MyVodafone (India) - Online Recharge & Pay Bills' (row 3485) in  0.0313 seconds
 0.0469 seconds
Ingested app: 'ZArchiver' (row 4814) in  0.0477 seconds
Ingested app: 'Deck Shop for Clash Royale' (row 7794) in  0.0521 seconds
Ingested app: 'Z-Empire: Dead Strike' (row 4840) in  0.0561 seconds
Ingested app: 'Bo Aung Din' (row 6576) in  0.0609 seconds
Ingested app: 'E*TRADE Mobile' (row 1135) in  0.0446 seconds
